109,2,[ 411.32968834  631.32787742  679.56888392 1080.19894896]
110,1,[1178.34724238  348.9538128  1408.10309602  682.57189952]
110,2,[ 402.61291317  632.81085233  676.66801069 1080.17342802]
111,1,[1182.15208964  347.22531907 1407.34047563  684.53258818]
111,2,[ 397.86295024  632.50015638  678.12370461 1080.15184432]
112,1,[1186.59519532  346.73300712 1407.16809291  687.19543759]
112,2,[ 393.30876779  631.54699669  680.46646194 1080.13347439]
113,1,[1188.53536073  342.17672731 1406.75228214  689.48073491]
113,2,[ 387.80298279  630.37549466  680.81665661 1080.11749678]
114,1,[1192.65270304  339.2595252  1406.32919186  689.03080747]
114,2,[ 380.06450066  629.14377039  677.63390146 1080.10351195]
115,1,[1197.25773162  336.33959603 1406.2660683   688.15339544]
115,2,[ 376.46461852  630.55955537  676.09943727 1080.09125345]
116,1,[1203.20927443  341.85855702 1404.53575451  689.06953035]
116,2,[ 374.81789027  634.31040815  674.80165534 1079.41664476]
117,1,[1208.15030479  346.78755416 1403.03533736  689.37947219]
117,2,[ 370.23230057  632.29330138  673.93334037 1079.82320918]
118,1,[1214.79689971  351.41531519 1402.81796356  688.79886541]
118,2,[ 365.41517422  631.46119093  671.66576621 1079.97222041]
119,1,[1216.44546427  354.57891147 1400.80883281  691.18587511]
119,2,[ 361.40298794  629.08693205  671.29047742 1080.02466212]
120,1,[1218.36687935  355.81929338 1400.59130613  692.71294697]
120,2,[ 356.62441099  625.49238278  670.70815112 1080.04073414]
121,1,[1222.55075987  356.98524128 1400.8752617   689.95757926]
121,2,[ 348.5045385   619.48111905  666.50059191 1080.04340045]
122,1,[1227.50442563  358.78720634 1402.77722323  688.86739452]
122,2,[ 346.07901319  616.53251791  665.155996   1080.04145429]
